data_as_of,start_date,end_date,group,state,sex,age_group,covid_19_deaths,total_deaths,pneumonia_deaths,pneumonia_and_covid_19_deaths,influenza_deaths,pneumonia_influenza_or_covid,footnote
2022-09-21T00:00:00.000,2020-01-01T00:00:00.000,2022-09-17T00:00:00.000,By Total,United States,All Sexes,All Ages,1050781,9109517,962213,535021,12348,1488511,
2022-09-21T00:00:00.000,2020-01-01T00:00:00.000,2022-09-17T00:00:00.000,By Total,United States,All Sexes,Under 1 year,355,52461,689,51,39,1030,
2022-09-21T00:00:00.000,2020-01-01T00:00:00.000,2022-09-17T00:00:00.000,By Total,United States,All Sexes,0-17 years,1282,93268,1928,320,259,3136,
2022-09-21T00:00:00.000,2020-01-01T00:00:00.000,2022-09-17T00:00:00.000,By Total,United States,All Sexes,1-4 years,188,10003,404,43,85,630,
2022-09-21T00:00:00.000,2020-01-01T00:00:00.000,2022-09-17T00:00:00.000,By Total,United States,All Sexes,5-14 years,401,15679,545,117,107,930,
2022-09-21T00:00:00.000,2020-01-01T00:00:00.000,2022-09-17T00:00:00.000,By Total,United States,All Sexes,15-24 years,2807,97761,2556,1205,117,4266,
2022-09-21T00:00:00.000,2020-01-01T00:00:00.000,2022-09-17T00:00:00.000,By Total,United States,All Sexes,18-29 years,6574,171860,5833,3053,198,9532,
2022-09-21T00:00:00.000,2020-01-01T00:00:00.000,2022-09-17T00:00:00.000,By Total,United States,All Sexes,25-34 years,11673,206386,9839,5661,288,16110,
2022-09-21T00:00:00.000,2020-01-01T00:00:00.000,2022-09-17T00:00:00.000,By Total,United States,All Sexes,30-39 years,18893,256019,15538,9469,400,25325,
2022-09-21T00:00:00.000,2020-01-01T00:00:00.000,2022-09-17T00:00:00.000,By Total,United States,All Sexes,35-44 years,28739,305627,23348,14835,470,37666,
2022-09-21T00:00:00.000,2020-01-01T00:00:00.000,2022-09-17T00:00:00.000,By Total,United States,All Sexes,40-49 years,44383,379909,35740,23538,624,57113,
2022-09-21T00:00:00.000,2020-01-01T00:00:00.000,2022-09-17T00:00:00.000,By Total,United States,All Sexes,45-54 years,68595,534304,56707,37251,937,88831,
2022-09-21T00:00:00.000,2020-01-01T00:00:00.000,2022-09-17T00:00:00.000,By Total,United States,All Sexes,50-64 years,193560,1530620,173958,106890,2672,262845,
2022-09-21T00:00:00.000,2020-01-01T00:00:00.000,2022-09-17T00:00:00.000,By Total,United States,All Sexes,55-64 years,151934,1209455,138909,84107,2110,208488,
